"nummer";"stg";"aaspf_echt";"abschluss";"fachrich";"fachriche";"stgart";"name";"teilzeit";"rsem_vz";"rsem_tz";"rsem_dual";"wie";"pvers_vz";"pvers_tz";"pvers_dual";"ects_vz";"ects_tz";"ects_dual";"titelkz_m_vz";"titelkz_m_tz";"titelkz_m_dual";"titelkz_w_vz";"titelkz_w_tz";"titelkz_w_dual";"praxis_vz";"praxis_tz";"praxis_dual";"statdat";"zuordnung";"berufsbegleitend";"sem";"erst_sem";"hoeheres_sem";"start_1";"end_1";"start_h";"end_h";"vorpraxis";"akkreditiert_von";"akkreditiert_bis";"akkreditiert_agentur";"anz_sp_vz";"anz_sp_tz";"anz_sp_dual";"studienrichtung_vz";"studienrichtung_tz";"studienrichtung_dual";"schwerpunkt_vz";"schwerpunkt_tz";"schwerpunkt_dual";"po_url_vz";"po_url_tz";"po_url_dual"
"05";"GT";"M";"Master";"Gebäudetechnik";"Building Services Engineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"3";"Vollzeit / Dual";"115M";"-";"115M";"90";"0";"90";"M.Eng.";"";"M.Eng.";"M.Eng.";"";"M.Eng.";"---~0~|---~0~|---~0~";"";"---~0~|---~0~|---~0~";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_GTM_115_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_GTM_115_SPO.pdf"
"11";"GW";"M";"Master";"Gemeinwesenentwicklung, Quartiersmanagement und Lokale Ökonomie";"Community Development and Local Economy";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"6";"0";"Teilzeit";"-";"112M";"-";"0";"120";"0";"";"M.C.D.";"";"";"M.C.D.";"";"";"---~0~|---~0~|---~0~";"";"SW";"S";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_GWM_112_SPO.pdf";""
"03";"IA";"M";"Master";"Ingenieurakustik";"Ingenieurakustik";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"5";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"IW";"T";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"03";"IA";"Z";"";"Ingenieurakustik (Modulstudium)";"Ingenieurakustik (Modulstudium)";"694";"Weiterbildungsstudium Abschlusszeugnis/Zertifikat";"2";"0";"1";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"IW";"";"B";"220";"Wahr";"Falsch";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"07";"IB";"B";"Bachelor";"Wirtschaftsinformatik";"Information Systems and Management";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"217B";"-";"217B";"210";"0";"210";"B.Sc.";"";"B.Sc.";"B.Sc.";"";"B.Sc.";"---~0~|---~0~|Praxissemester~5~";"";"---~0~|---~0~|Praxissemester~5~";"IM";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_IBB_217_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_IBB_217_SPO.pdf"
"07";"IC";"B";"Bachelor";"Scientific Computing";"Scientific Computing";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"219B";"-";"219B";"210";"0";"210";"B.Sc.";"";"B.Sc.";"B.Sc.";"";"B.Sc.";"---~0~|---~0~|Praxissemester~4~";"";"---~0~|---~0~|Praxissemester~4~";"IM";"T";"N";"220";"Falsch";"Falsch";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_ICB_217_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_ICB_217_SPO.pdf"
"07";"IF";"B";"Bachelor";"Informatik";"Computer Science";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"219B";"-";"219B";"210";"0";"210";"B.Sc.";"";"B.Sc.";"B.Sc.";"";"B.Sc.";"---~0~|---~0~|Praxissemester~5~";"";"---~0~|---~0~|Praxissemester~5~";"IM";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_IFB_212_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_IFB_212_SPO.pdf"
"07";"IG";"M";"Master";"Informatik";"Computer Science";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"119M";"219M";"119M";"90";"90";"90";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"IM";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"1";"1";"1";"";"";"";"Embedded Computing;Software Engineering;Visual Computing and Machine Learning";"Embedded Computing;Software Engineering;Visual Computing and Machine Learning";"Embedded Computing;Software Engineering;Visual Computing and Machine Learning";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_IGM_110_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_IGM_119_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_IGM_110_SPO.pdf"
"13";"IK";"M";"Master";"Interkulturelle Kommunikation und Kooperation";"Intercultural Communication and Cooperation";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"4";"5";"0";"Vollzeit / Teilzeit";"";"119M";"-";"";"90";"0";"";"M.A.";"";"";"M.A.";"";"";"---~0~|---~0~|---~0~";"";"IM";"T";"B";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/mediapool/media/dachmarke/dm_transfer/download_13/spo_6/spo_aktuell/13_ikm_aktuell_spo.pdf";""
"13";"IK";"Z";"";"Interkulturelle Kommunikation und Kooperation";"Intercultural Communication and Cooperation";"494";"Ergänzungs-, Erweiterungs- und Zusatzstudium Abschlusszeugnis/Zertifikat";"2";"0";"2";"0";"Teilzeit";"-";"203Z";"-";"0";"0";"0";"";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"";"IM";"";"B";"220";"Wahr";"Falsch";"";"";"";"";"";"";"";"";"0";"0";"0";"";"Zertifikat";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/13_IKZ_203_SPO.pdf";""
"07";"IN";"M";"Master";"Wirtschaftsinformatik";"Information Systems and Management";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"212M";"112M";"212M";"90";"90";"90";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"IM";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_INM_212_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_INM_112_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_INM_212_SPO.pdf"
"07";"IS";"M";"Master";"Stochastic Engineering in Business and Finance";"Stochastic Engineering in Business and Finance";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"0";"Vollzeit / Teilzeit";"217M";"117M";"-";"90";"90";"0";"M.Sc.";"M.Sc.";"";"M.Sc.";"M.Sc.";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"IM";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_ISM_117_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_ISM_117_SPO.pdf";""
"07";"IT";"M";"Master";"IT-Sicherheit";"IT Security";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"0";"Vollzeit / Teilzeit";"220M";"120M";"-";"90";"90";"0";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"IM";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_ITM_220_SPO.pdf";"";""
